ssh://plkang@10.155.120.16:22/home/plkang/software/anaconda3/anaconda3/envs/pytorch1.8/bin/python3.7 -u /home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py
/home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py:55: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  pad_width = np.int(pad_width)
/home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py:83: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  pad_width = np.int(pad_width)
/home/plkang/deeplearn_code/HSI-Classification/model/other_models/2DCNN.py:91: DeprecationWarning: `np.int` is a deprecated alias for the builtin `int`. To silence this warning, use `int` by itself. Doing this will not modify any behavior and is safe. When replacing `np.int`, you may wish to use e.g. `np.int64` or `np.int32` to specify the precision. If you wish to review your current use, check the release note link for additional information.
Deprecated in NumPy 1.20; for more details and guidance: https://numpy.org/devdocs/release/1.20.0-notes.html#deprecations
  pad_width = np.int(pad_width)
Training size and testing size are: (695, 200, 16, 16) and (9671, 200, 16, 16)
The structure of the designed network CNN(
  (conv1): Sequential(
    (0): Conv2d(200, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(32, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv2): Sequential(
    (0): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (conv3): Sequential(
    (0): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): BatchNorm2d(128, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
    (2): ReLU()
    (3): AdaptiveMaxPool2d(output_size=1)
  )
  (out): Linear(in_features=128, out_features=16, bias=True)
)
Epoch:  0 | train loss: 3.0062 | test accuracy: 0.04
Epoch:  70 | train loss: 0.0016 | test accuracy: 0.95
Epoch:  71 | train loss: 0.0013 | test accuracy: 0.95
Epoch:  72 | train loss: 0.0012 | test accuracy: 0.95
Epoch:  73 | train loss: 0.0009 | test accuracy: 0.95
Epoch:  74 | train loss: 0.0013 | test accuracy: 0.95
Epoch:  75 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  76 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  77 | train loss: 0.0011 | test accuracy: 0.95
Epoch:  78 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  79 | train loss: 0.0006 | test accuracy: 0.95
Epoch:  80 | train loss: 0.0009 | test accuracy: 0.95
Epoch:  81 | train loss: 0.0010 | test accuracy: 0.95
Epoch:  82 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  83 | train loss: 0.0006 | test accuracy: 0.95
Epoch:  84 | train loss: 0.0006 | test accuracy: 0.94
Epoch:  85 | train loss: 0.0013 | test accuracy: 0.95
Epoch:  86 | train loss: 0.0017 | test accuracy: 0.95
Epoch:  87 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  88 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  89 | train loss: 0.0011 | test accuracy: 0.95
Epoch:  90 | train loss: 0.0009 | test accuracy: 0.95
Epoch:  91 | train loss: 0.0011 | test accuracy: 0.95
Epoch:  92 | train loss: 0.0010 | test accuracy: 0.95
Epoch:  93 | train loss: 0.0006 | test accuracy: 0.95
Epoch:  94 | train loss: 0.0009 | test accuracy: 0.95
Epoch:  95 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  96 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  97 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  98 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  99 | train loss: 0.0006 | test accuracy: 0.95
Epoch:  100 | train loss: 0.0006 | test accuracy: 0.94
Epoch:  101 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  102 | train loss: 0.0009 | test accuracy: 0.95
Epoch:  103 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  104 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  105 | train loss: 0.0009 | test accuracy: 0.95
Epoch:  106 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  107 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  108 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  109 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  110 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  111 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  112 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  113 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  114 | train loss: 0.0009 | test accuracy: 0.95
Epoch:  115 | train loss: 0.0008 | test accuracy: 0.95
Epoch:  116 | train loss: 0.0006 | test accuracy: 0.95
Epoch:  117 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  118 | train loss: 0.0006 | test accuracy: 0.95
Epoch:  119 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  120 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  121 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  122 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  123 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  124 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  125 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  126 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  127 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  128 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  129 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  130 | train loss: 0.0004 | test accuracy: 0.92
Epoch:  131 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  132 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  133 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  134 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  135 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  136 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  137 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  138 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  139 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  140 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  141 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  142 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  143 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  144 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  145 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  146 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  147 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  148 | train loss: 0.0007 | test accuracy: 0.95
Epoch:  149 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  150 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  151 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  152 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  153 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  154 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  155 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  156 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  157 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  158 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  159 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  160 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  161 | train loss: 0.0005 | test accuracy: 0.95
Epoch:  162 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  163 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  164 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  165 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  166 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  167 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  168 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  169 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  170 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  171 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  172 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  173 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  174 | train loss: 0.0001 | test accuracy: 0.95
Epoch:  175 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  176 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  177 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  178 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  179 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  180 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  181 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  182 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  183 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  184 | train loss: 0.0001 | test accuracy: 0.95
Epoch:  185 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  186 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  187 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  188 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  189 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  190 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  191 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  192 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  193 | train loss: 0.0001 | test accuracy: 0.95
Epoch:  194 | train loss: 0.0003 | test accuracy: 0.95
Epoch:  195 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  196 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  197 | train loss: 0.0004 | test accuracy: 0.95
Epoch:  198 | train loss: 0.0002 | test accuracy: 0.95
Epoch:  199 | train loss: 0.0001 | test accuracy: 0.95
tensor(0.9544)
[0.92196532 0.97704082 1.         0.94630872 0.99856528 1.
 0.90522876 0.94416873 0.90425532 1.         0.99196141 0.98787879
 1.         1.         1.         1.        ]

Process finished with exit code 0
